driverId,raceId,finalPosition,gridPosition,points,qual1,qual2,qual3
835,961,-1,20,0.0,00:01:24.2300000,NULL,NULL
835,962,15,18,0.0,00:01:46.9600000,NULL,NULL
835,963,10,19,1.0,00:01:35.9990000,NULL,NULL
835,964,12,16,0.0,00:01:32.7960000,00:01:32.8070000,NULL
835,967,-1,16,0.0,00:01:13.2590000,00:01:13.2580000,NULL
835,968,17,15,0.0,00:01:41.7750000,00:01:41.8200000,NULL
835,969,-1,19,0.0,00:01:28.2440000,NULL,NULL
835,970,13,20,0.0,00:01:35.2790000,NULL,NULL
835,971,13,10,0.0,00:01:31.4580000,00:01:30.8990000,00:01:31.0740000
835,972,-1,16,0.0,00:01:36.4620000,NULL,NULL
835,973,15,17,0.0,00:01:22.4010000,NULL,NULL
835,974,11,16,0.0,00:01:14.6960000,NULL,NULL
835,975,11,15,0.0,00:01:13.9900000,00:01:14.2930000,NULL
835,977,11,16,0.0,00:01:06.3450000,NULL,NULL
835,978,-1,11,0.0,00:01:41.4040000,00:01:30.1930000,NULL
835,979,12,10,0.0,00:01:18.6990000,00:01:18.4150000,NULL
835,980,13,14,0.0,00:01:45.4470000,00:01:44.6850000,NULL
835,981,-1,17,0.0,00:01:40.6460000,NULL,NULL
835,982,6,11,8.0,00:01:42.4720000,00:01:42.1070000,NULL
835,983,15,12,0.0,00:01:32.5760000,00:01:32.1000000,NULL
835,984,12,18,0.0,00:01:30.5160000,00:01:30.0220000,NULL
836,948,16,21,0.0,00:01:29.6420000,NULL,NULL
836,949,13,16,0.0,00:01:32.8060000,NULL,NULL
836,950,18,21,0.0,NULL,NULL,NULL
836,951,18,20,0.0,00:01:39.3990000,NULL,NULL
836,952,16,21,0.0,00:01:25.7450000,NULL,NULL
836,953,14,20,0.0,00:01:17.4520000,NULL,NULL
836,954,17,17,0.0,00:01:15.5990000,NULL,NULL
836,955,-1,17,0.0,00:01:45.7500000,NULL,NULL
836,956,10,12,1.0,00:01:07.5650000,00:01:07.7000000,NULL
836,957,-1,20,0.0,00:01:33.1510000,NULL,NULL
836,958,19,20,0.0,00:01:47.3430000,NULL,NULL
836,959,17,17,0.0,00:01:16.7170000,NULL,NULL
836,960,-1,15,0.0,00:01:48.5540000,00:01:49.3200000,NULL
836,961,-1,13,0.0,00:01:23.7600000,00:01:23.3150000,NULL
836,962,16,19,0.0,00:01:47.6670000,NULL,NULL
836,963,15,21,0.0,00:01:36.5870000,NULL,NULL
836,964,22,21,0.0,00:01:33.5610000,NULL,NULL
836,966,-1,16,0.0,00:01:21.3630000,00:01:21.7850000,NULL
836,967,15,19,0.0,00:01:13.4270000,NULL,NULL
836,968,14,16,0.0,00:01:41.8860000,00:01:41.9950000,NULL
836,971,11,13,0.0,00:01:31.9950000,00:01:31.4140000,NULL
836,972,16,17,0.0,00:01:37.3320000,NULL,NULL
836,973,8,15,4.0,00:01:22.3270000,00:01:21.8030000,NULL
836,974,-1,18,0.0,00:01:15.1590000,NULL,NULL
836,975,15,20,0.0,00:01:14.8100000,NULL,NULL
836,976,10,14,1.0,00:01:44.3170000,00:01:44.6030000,NULL
836,977,14,20,0.0,00:01:07.0110000,NULL,NULL
836,978,17,17,0.0,00:01:42.5930000,NULL,NULL
836,979,15,18,0.0,00:01:19.8390000,NULL,NULL
836,980,-1,18,0.0,00:01:47.6790000,NULL,NULL
836,981,16,12,0.0,00:01:41.8750000,NULL,NULL
836,982,12,19,0.0,00:01:45.0590000,NULL,NULL
836,983,17,18,0.0,00:01:33.4830000,NULL,NULL
836,984,15,17,0.0,00:01:31.8850000,NULL,NULL
836,986,14,13,0.0,00:01:19.3330000,NULL,NULL
836,987,14,15,0.0,00:01:10.6780000,NULL,NULL
836,988,14,18,0.0,00:01:39.9300000,NULL,NULL
837,948,-1,22,0.0,00:01:29.6270000,NULL,NULL
837,949,17,20,0.0,00:01:34.1900000,NULL,NULL
837,950,21,20,0.0,00:01:40.2640000,NULL,NULL
837,951,-1,21,0.0,00:01:39.4630000,NULL,NULL
837,952,17,22,0.0,00:01:25.9390000,NULL,NULL
837,953,15,19,0.0,00:01:17.2950000,NULL,NULL
837,954,19,19,0.0,00:01:17.0520000,NULL,NULL
